"label"	"value"
"Unknown"	"0.122196175922147"
"1"	"0.0352654052740549"
"2"	"0.00624854690748998"
"3"	"0.00226067570704595"
"4"	"0.00219039913267313"
"5"	"0.000678572019252807"
"6"	"0.00211825084287741"
"7"	"0.00715715435769586"
"8"	"0.106723672178656"
"9"	"0.0391857947008101"
"10"	"0.000417038764327059"
"11"	"0.056516878190035"
"12"	"0.0342845924573844"
"14"	"0.000336489271439506"
"15"	"0.105433587157455"
"16"	"0.408774659418677"
"17"	"0.00756407844196072"
"18"	"0.0360428380056157"
"19"	"0.0152066151062954"
"20"	"0.00852415208791141"
"21"	"0.00177074260005023"
"22"	"0.00110368145614478"
