"label"	"value"
"Unknown"	"0.803602671667709"
"1"	"0.0403578914467436"
"2"	"0.027389798714063"
"3"	"0.00133539776773894"
"4"	"0.000431348556899529"
"5"	"0.0124745403381721"
"6"	"0.00778221475007507"
"7"	"0.00356667009036208"
"8"	"0.00850021219013069"
"9"	"0.00653479268296775"
"10"	"0.0018685927490662"
"11"	"0.0120296510411048"
"12"	"0.00285698675666"
"15"	"0.00407966829667876"
"16"	"0.0150504409470961"
"17"	"0.00101569046499428"
"18"	"0.00273006327332129"
"19"	"0.0430948500082125"
"20"	"0.00465854817874463"
"22"	"0.000639970079259125"
