"label"	"value"
"Unknown"	"-0.24989847031896"
"1"	"0.231965510262347"
"2"	"0.503704920745096"
"3"	"0.000706068993869698"
"4"	"0.000322262365387947"
"5"	"0.0618869248412117"
"6"	"0.0105933938323169"
"7"	"0.00408885808055074"
"8"	"0.0104649602013663"
"9"	"0.00227680416459749"
"10"	"0.00057439845743945"
"11"	"0.0400537700721065"
"12"	"0.00396453004799923"
"13"	"0.000464610737040346"
"14"	"0.000647244564699642"
"16"	"0.00444512303530366"
"17"	"0.00115447317833303"
"19"	"0.362295237212207"
"20"	"0.00451804028932493"
"22"	"0.000336489271439506"
"23"	"0.00543484996632353"
