"label"	"value"
"Unknown"	"0.50340779041506"
"1"	"0.0441281084798433"
"2"	"0.0442051057316888"
"3"	"0.0445375752585947"
"4"	"0.0127960567516929"
"5"	"0.0304489399873602"
"6"	"0.00929135185282518"
"7"	"0.047440662261209"
"8"	"0.00022893217505647"
"9"	"0.0188408597125634"
"10"	"0.0359586600912249"
"11"	"0.0144106183274205"
"12"	"0.0122226564834458"
"13"	"0.014443710918328"
"14"	"0.0121311492844258"
"15"	"0.0396908365535667"
"16"	"0.0471044622607028"
"17"	"0.0105969422017343"
"18"	"0.0273008022489696"
"19"	"0.0176877181730894"
"20"	"0.00218345002498474"
"21"	"0.00372019551132166"
"22"	"0.00722341529489227"
