"label"	"value"
"Unknown"	"0.313002376844968"
"1"	"0.0574621512749133"
"2"	"0.00958843197452558"
"3"	"0.0236963002926492"
"4"	"0.0312560486490563"
"5"	"0.0201181937305274"
"6"	"0.0274823010680986"
"7"	"0.116949857790033"
"8"	"0.0403179782052144"
"9"	"0.00281650528058052"
"10"	"0.0283449625361559"
"11"	"0.0689959272125758"
"12"	"0.0300513199883336"
"13"	"0.0808911961682562"
"14"	"0.0146553313676679"
"16"	"0.0892664653798989"
"17"	"0.00936625646152922"
"18"	"0.0030241819696636"
"19"	"0.00125801646685"
"20"	"0.0220861973035213"
"21"	"0.00858083169609353"
"22"	"0.000789168338887416"
