"label"	"value"
"Unknown"	"0.225519248303649"
"1"	"0.0385563216860978"
"2"	"0.088802826719054"
"3"	"0.0464811634964074"
"4"	"0.0570860723744459"
"5"	"0.0124537833352697"
"6"	"0.0802690447748683"
"7"	"0.0490385771526269"
"8"	"0.0216981744415565"
"9"	"0.0574198947667163"
"10"	"0.00659684961681952"
"11"	"0.014574488191615"
"12"	"0.109674569452956"
"13"	"0.011305261276315"
"14"	"0.0104096087330274"
"15"	"0.033196911460415"
"16"	"0.0457938236504302"
"17"	"0.0303693276599908"
"18"	"0.0172141232532846"
"19"	"0.00597571805014153"
"20"	"0.0230818509260242"
"21"	"0.00034919031519022"
"22"	"0.00550279890235694"
"23"	"0.00863037146074216"
